,steps,reward
0,91,-150.39123335913422
1,63,-103.38015933814091
2,98,-419.6156097438408
3,99,-561.2034064374525
4,115,-24.636461218030533
5,65,-78.00652199796892
6,81,-261.8197382419122
7,103,-275.35338558534056
8,105,-254.2633730905739
9,63,-127.89872462756696
10,84,-82.87002962888762
11,105,-239.77629527717798
12,138,-225.314480826784
13,80,-369.3214109675221
14,72,-124.16184017596333
15,72,-119.02811989011951
16,82,-392.6826426011029
17,121,-188.45880412742252
18,74,-77.11005150073507
19,120,-263.82012981617765
20,96,-185.82651503672133
21,63,-108.27535020727849
22,68,-89.08059175884053
23,105,-276.45711668022045
24,89,-332.6709827614039
25,63,-221.89833685878
26,89,-115.8501447822915
27,84,-118.15669798770594
28,71,-87.96826664805192
29,114,-139.33423475572016
30,122,-99.27948533988152
31,98,-100.38380988400768
32,119,-135.26282594531756
33,116,-394.2447851124374
34,156,-513.8142412877037
35,78,-17.86009564121855
36,122,-481.8773036698317
37,117,-341.8981149166925
38,132,-445.55740549261475
39,83,-349.3103476210044
40,135,-125.95025136023345
41,73,-107.2266334446291
42,73,-182.94512324615403
43,69,-92.74255862269587
44,86,-408.8601295553802
45,72,-158.34279796242663
46,109,-168.7802680735977
47,120,-419.29737351697514
48,71,-87.98425209092235
49,66,-297.90277948839685
50,69,-81.63585764984325
51,81,-161.88793784241344
52,68,-61.45203465180924
53,88,-216.98452115223887
54,94,-170.3190039841897
55,88,-124.01893172175282
56,68,-243.55111168961542
57,85,-444.55303076214113
58,104,-310.81180550111947
59,100,-171.50005516126868
60,117,-77.1848674125405
61,109,-133.75130257232513
62,85,-65.04825823016876
63,96,-118.92522199997707
64,86,-282.17713304368374
65,66,-157.21051433147062
66,97,-379.9797822413836
67,125,-352.3596625869082
68,109,-163.37852769968976
69,77,-86.73614179643435
70,78,-411.09143479547066
71,120,-164.7281698064645
72,113,-322.3091437594609
73,102,-257.96186053458285
74,117,-232.3331159950917
75,130,-393.4542702296736
76,74,-121.92710505413132
77,119,-301.2368455493935
78,97,-357.9383908885162
79,98,-323.1292174665705
80,62,-229.029019442079
81,119,-343.1197028081656
82,113,-682.1166547873759
83,89,-468.128190873787
84,97,-423.89764256581316
85,87,-290.3331322852315
86,90,-358.4653928951754
87,112,-237.589960549253
88,101,-364.87090295349367
89,68,-242.7829078173792
90,73,-80.15240541959695
91,80,-153.8280630888716
92,94,-146.06236758136708
93,91,-353.5699453476868
94,89,-436.4508897487481
95,158,-343.6215914565296
96,109,-109.79576810605982
97,88,-292.1767637392724
98,114,-415.5190088559305
99,125,-113.47720672762114
100,81,-295.96890234462234
101,72,-197.33584981425386
102,115,-230.88483415508347
103,101,-374.4861649695668
104,89,-172.6966450663597
105,82,-82.70734147315544
106,71,-66.32686858439394
107,90,-307.702672594673
108,116,-323.4373739116645
109,70,-197.47133014911014
110,84,-360.1321675497194
111,77,-181.94927784720025
112,80,-195.64610497512228
113,86,-376.3220277802327
114,82,-86.506848277543
115,82,-206.8239572015084
116,152,-255.08053655584771
117,103,-136.35973648153004
118,94,-252.96657085843182
119,104,-76.14735945269629
120,108,-113.81901613132244
121,89,-318.95655117017543
122,92,43.38465785768517
123,70,-116.87023443277552
124,143,-312.29204108498834
125,64,-69.32351905650208
126,89,-389.98801665886015
127,111,-324.2366063190409
128,89,-316.5397266542433
129,107,-242.5989833602629
130,113,-65.24080898007679
131,102,-165.60382454973927
132,79,-58.51280927498562
133,134,-109.60348928873618
134,100,-113.91318982253247
135,95,-265.57199042555095
136,109,-121.00268883264317
137,108,-420.53344416754436
138,83,-510.31689208490474
139,122,-297.14885162299095
140,155,-256.4220613727632
141,125,-294.1263608052102
142,93,-337.27158156942517
143,83,-241.81864696266425
144,84,-168.92636914855615
145,121,-177.02290971217914
146,114,-175.08102896743677
147,124,-41.141442751816385
148,118,-275.16715800342257
149,136,-92.67958884431226
150,126,-251.61866068003732
151,78,-77.90628147780353
152,82,-222.59020994161898
153,115,-365.60775185145076
154,76,-101.50048446708877
155,96,-105.5729551055791
156,114,-289.29192829553887
157,93,-212.25524081107022
158,79,-168.7992614497822
159,95,-355.38892018891534
160,109,-302.5128313275651
161,99,-288.05361012120994
162,121,-109.60110822253975
163,100,-143.43253595361963
164,84,-263.21110045401105
165,128,-474.69032298453743
166,79,-123.29557667606439
167,76,-111.53660422312485
168,83,-92.854076947152
169,92,-260.78211189211754
170,73,-87.42729894976873
171,64,-67.26365681203868
172,79,-112.32413715952623
173,113,-218.0522010250218
174,84,-133.96065369203896
175,100,-137.13732904422514
176,90,-88.96711763200874
177,73,-112.66607888623096
178,135,-70.38660819405389
179,71,-104.6562287001436
180,90,-428.61349745294774
181,81,-322.2179213867058
182,67,-84.7471301497694
183,109,-75.75972724417835
184,103,-188.34051635733093
185,89,-98.36593918685747
186,86,-127.10552037837097
187,132,-71.66356469986627
188,114,-123.30093463164748
189,105,-108.91911210173909
190,147,-452.0909532113319
191,109,-102.03525712805492
192,92,-115.71006521665649
193,102,-272.4477564074017
194,98,-223.87928081252178
195,103,-247.85681826130858
196,106,-161.51530369880976
197,66,-118.36131185989828
198,104,-130.5895019608657
199,139,-140.22913456473245
200,122,-344.8982548386206
201,86,-125.83873204330673
202,142,-182.88713872108747
203,96,-241.79461941120235
204,103,-146.34230365836976
205,128,-104.30482559256056
206,108,-421.65512339491085
207,93,-161.7569450977979
208,77,-85.27762522101689
209,105,-281.6947423144602
210,84,-114.90586352096585
211,125,-164.07952482889277
212,64,-82.83788887617182
213,70,-83.13844204598294
214,75,-294.31588028273643
215,88,-109.80701209884815
216,95,-193.26333904819228
217,130,-137.38945948613434
218,70,-82.40500925029669
219,89,-116.77132896779797
220,67,-85.49678718899943
221,123,-171.70291883060463
222,81,-21.865185320888713
223,71,-68.95365612707687
224,82,-102.16699255404063
225,126,-91.6450479853672
226,63,-89.82891480232877
227,82,-125.39409790869986
228,86,-155.48361351491246
229,80,-405.88296150333207
230,68,-89.93640342996441
231,110,-142.90466961835259
232,92,-458.92111358019645
233,77,-67.04105686438061
234,140,-311.30166046881857
235,131,-479.2289434993179
236,79,-92.70943422782794
237,96,-95.09012333634678
238,84,-55.87639020087804
239,98,-289.29666256111807
240,70,-68.006074799745
241,124,-293.83341020300554
242,113,-131.57559666208022
243,82,-104.34786803789866
244,108,-154.42822328514464
245,64,-74.99025010509851
246,83,-153.15267017203593
247,131,-65.51026846988825
248,111,-326.3209430653428
249,77,-143.52952589037812
250,75,-66.05037319943352
251,92,-237.44061192686638
252,80,-120.82698624883052
253,120,-167.80518771985686
254,135,-196.27707517687458
255,101,-220.64799877001153
256,81,-27.24004681750978
257,74,-75.587892263018
258,123,-135.3065127003846
259,70,-61.30148065915099
260,114,-163.79877703496146
261,116,-210.64060838524216
262,122,-84.44026585728116
263,86,-78.86343221875893
264,105,-67.7898770415113
265,91,-61.93999112094731
266,83,-149.99040639916677
267,120,-143.461545739091
268,102,-90.06416671434985
269,85,-156.77776393778032
270,112,-198.8038755113443
271,127,9.023755169362218
272,104,-181.35823391384594
273,118,-308.9547915840291
274,151,-299.01057889860357
275,69,-155.99164469984152
276,81,-85.39437239639489
277,124,-95.0309534032691
278,97,-217.6869606312724
279,147,-286.53112214526027
280,69,-136.06670095185257
281,113,-112.22183456066773
282,100,-267.8591521084718
283,113,-109.7912237193566
284,88,-184.8949843459106
285,133,-471.13010069334507
286,92,-115.3145960171059
287,101,-1.9399893675934976
288,84,-252.81515571882176
289,93,-354.0306967456196
290,82,-75.32583909508129
291,65,-61.84692424117101
292,120,-125.14314733956616
