,steps,reward
0,118,-97.60699283438326
1,115,-176.21338393137324
2,65,-253.4509439683583
3,62,-126.803088037875
4,87,-206.47711413683368
5,59,-137.5569087717443
6,120,-122.71770595118304
7,100,-338.7014233633163
8,114,-108.10958995536102
9,64,0.4143333629638448
10,79,-220.92540085760942
11,83,45.785268521416384
12,66,-116.61284610749472
13,83,-167.11048269626107
14,96,-231.44188548864258
15,84,-114.2270745102376
16,141,-235.4547100473348
17,70,-79.09756201843672
18,71,-126.29024415248908
19,77,-159.75631153394494
20,115,-50.70390936969292
21,90,-209.08859720896442
22,75,-345.74497028170117
23,69,-236.4307440312175
24,113,-120.13848109538678
25,80,-280.96761194216396
26,67,-131.80935721376386
27,78,-121.30851168772463
28,77,-141.19575494549719
29,87,-373.3337529703757
30,97,-437.39576541017044
31,101,-4.069856636265811
32,137,-81.16137673411092
33,101,-396.5684911251189
34,72,-150.99381378775985
35,77,-92.57218255444106
36,112,-200.27518757570314
37,88,-122.76086711441086
38,89,-293.47338202872226
39,86,-334.17389799857426
40,76,-175.59855825011323
41,60,-140.97692555762947
42,108,-308.62891803881104
43,90,-134.6941369115683
44,88,-217.87575912914883
45,147,-356.03254597461324
46,99,-89.39952326404197
47,66,-114.50503278012462
48,107,-248.8860695365859
49,93,-190.41975242553158
50,63,-86.06580809048243
51,115,-84.50105130077245
52,125,-98.19658807891862
53,68,-88.90470279928944
54,135,-123.14019995953132
55,83,-118.66769759379056
56,85,-226.27093446599366
57,92,-134.41214327134088
58,104,-209.44829908295108
59,109,-290.383453983556
60,87,-252.3211934814831
61,88,11.747701332338124
62,83,-102.62525136600236
63,100,-140.368948511678
64,113,-181.62736394010426
65,87,-243.42863475994483
66,80,-99.6771878100821
67,90,-120.41317252502938
68,109,-420.3357787367746
69,97,-157.523054939546
70,125,-84.16845928295204
71,80,-116.32028200497535
72,119,-392.6880667101812
73,98,-309.06857748753845
74,75,-139.70543720037003
75,85,-197.16463518856517
76,68,-80.47774206770649
77,89,-361.487952742413
78,102,-136.98864145056848
79,90,-317.3016876290768
80,72,-114.93319736307147
81,76,-64.86581806529213
82,71,-112.84617539273026
83,92,-415.3987595419552
84,75,-145.47578153494058
85,64,-112.02640237485801
86,83,-125.09531940783123
87,141,-159.43218526119534
88,111,-114.67923273884665
89,76,-92.42879822031374
90,114,-151.27855041118795
91,82,-85.76422754854335
92,126,10.59535842722704
93,85,-287.14455436964244
94,78,-229.81119079152154
95,70,-87.02510795488094
96,68,-102.27212464762624
97,99,-341.85336359767655
98,100,-152.84579763775133
99,111,-187.75742226055803
100,88,-146.50506283511146
101,71,-233.58365425592052
102,77,-96.92133738922088
103,64,-216.26145345422566
104,74,-129.1222943810799
105,102,-126.09190963486891
106,59,-73.97963460087072
107,110,-402.0244663993622
108,74,-122.17931975327011
109,87,-81.3542326391159
110,89,-118.2987229422656
111,112,-108.78849170135288
112,55,-147.19098499869534
