,steps,reward
223,88,-128.32754767431334
224,84,-170.17158154950243
225,95,-265.8485659056106
226,88,-105.26711823843071
227,95,-341.2139795181761
228,77,-75.30135723660666
229,137,-129.05449206867473
230,78,-83.71358704838502
231,108,-105.51588801352807
232,67,-139.73609194624458
233,93,13.97674648217378
234,113,-112.17956846633433
235,71,-112.92881351386144
236,69,-92.9180748872509
237,64,-99.01586482854945
238,75,-78.5309083399783
239,94,-272.2881924738712
240,119,-207.88784602636898
241,152,-157.4900570293673
242,82,-102.79939568603059
243,93,-133.28245990141158
244,96,-107.86776910751452
245,131,-63.94844131094267
246,79,36.928211204392994
247,100,-101.98996206683363
248,85,-83.30378914728757
249,98,-151.5748414846591
250,82,36.19892818326542
251,61,-88.23756465375767
252,99,-138.23571513925043
253,119,-234.1819175034878
254,99,-223.29251640336426
255,136,-37.71321944611353
256,88,-90.65768530011337
257,65,-136.20872703468154
258,92,-148.25415987186966
259,67,-108.43709589305051
260,90,-154.36232554268
261,103,-170.6626895585798
262,74,-117.92088976698753
263,73,-67.92966007828073
264,110,-116.34398916728296
265,93,-333.340082290758
266,114,-94.66369863436258
267,121,-296.5856566131457
268,98,-176.88068287863717
269,93,-305.85165234528654
270,76,-88.61648732652365
271,118,-93.30995980126798
272,103,-307.5736962757842
273,120,-337.73669131367353
274,101,-296.73992541746935
275,108,-152.19250800270288
276,63,-79.41146920238015
277,81,-118.90282139603539
278,67,-86.98468469633997
279,95,-131.59643573378486
280,107,-228.1182987441288
281,133,-79.39852320031616
282,133,-77.05762040299098
283,69,-108.75489341039993
284,101,-175.94344884635447
285,81,-301.3311316950149
286,121,-82.14662373910932
287,107,-168.93068348358793
288,102,-258.1781956067049
289,69,-170.19010173016875
290,89,-267.7828729211511
291,68,-104.41126673412029
292,73,-72.25809456292146
293,84,-29.905624843553355
294,124,-19.923529016165745
295,99,-201.98449000230713
296,68,-84.7615434552489
297,82,-110.99040753697724
298,75,-64.9934172855341
299,81,-149.1304169487725
300,72,-170.32462343387763
301,131,-180.54079920887506
302,68,-80.90593100849208
303,65,-97.35449598765385
304,89,-189.78279914640154
305,134,-458.59645527564805
306,117,-204.81079987304537
307,104,-128.93060526291328
308,115,-74.69953789654575
309,80,-99.92789035685931
310,125,-64.42699608947609
311,111,-202.07389253853881
312,131,15.263093814973757
313,104,-243.38465682193285
314,64,-41.666996743462725
315,135,-181.6335117224096
316,98,-171.02747681320992
317,118,-306.9900726127265
318,89,-127.39318734912698
319,113,-298.8296412809076
320,66,-59.70477989694453
321,66,-166.5574300926359
322,109,-167.17704355517384
323,94,-107.73432773368648
324,128,-369.3110128589444
325,97,-135.6466571983714
326,106,-83.82313752535654
327,121,-102.41752666891661
328,146,-243.77996139202384
329,77,-106.44348726926133
330,67,-231.45415127173555
331,162,-108.56869025243412
332,107,-232.78538127203606
333,122,-249.14632157829118
334,87,-295.61715488748587
335,84,-240.5897421559663
336,81,-137.97471653152448
337,95,-122.72909791844012
338,85,-220.95260639165636
339,96,-147.0678861663342
340,109,-90.99293331081768
341,88,-107.09151241626306
342,92,-92.39266788757891
343,99,-112.9502104248593
344,64,-261.4608754259059
345,115,-96.07687295815649
346,109,-142.5245422317849
347,73,-72.67663355207934
348,94,-99.83146816112853
349,99,-174.22395131695262
350,124,-197.20006954683993
351,127,-264.09041113232774
352,89,-253.20591295637732
353,118,-104.74258019528467
354,98,-185.0916048028708
355,71,-112.63772089345167
356,91,-109.89937902201265
357,95,-82.34827451915076
358,121,-119.0267299434432
359,72,-113.02505656384031
360,96,-109.75599512927042
361,113,-143.67023740525613
362,61,-50.96824437589213
363,110,-129.88638124408124
364,81,-106.3338690426651
365,94,-111.69351026366692
366,100,-135.88328236523688
367,141,-119.34614480844695
368,112,-73.0871851953138
369,126,-160.61678671019018
370,68,-88.86930400271882
371,120,-208.52938433993663
372,90,-193.29464373080384
373,121,-108.63395664392317
374,115,-92.64546899136255
375,102,-174.36828623553043
376,78,-128.4330155179362
377,94,-90.44270214876707
378,110,-231.47587509490268
379,175,-244.4969737137156
380,65,-79.26509032580176
381,100,-329.6245271368258
382,55,-69.5906224798141
383,128,-107.64526868047196
384,66,-68.35509823974436
385,95,-159.7962280730862
386,150,-21.978986271999844
387,76,-76.82799724159743
388,81,-103.81550510408155
389,99,-150.0506668658498
390,116,-232.33268700591557
391,151,-244.14059612596907
392,91,-115.06273368012998
393,122,-119.93129853869065
394,97,-177.35960269412027
395,85,-65.27296702270681
396,153,-273.8979824319774
397,129,-95.09906832706787
398,113,-114.10212460657559
399,67,-77.35796202131209
400,74,-122.23547355217991
401,118,-204.47986960900397
402,121,-78.43231888335109
403,72,-72.1897510613909
404,144,-32.443860363858704
405,97,-26.851381674062566
406,176,-173.53737346371537
407,86,-127.06766994554984
408,88,-104.32658827334168
409,101,-116.96903284242632
410,105,-208.2322343546299
411,81,-110.94229552291688
412,91,-108.71401663101568
413,103,-125.49491977959758
414,78,-89.7666269229085
415,133,-7.023992270661637
416,87,-82.54293243111725
417,62,-82.21666854978588
418,129,-14.620346959026818
419,130,-103.67489044545482
420,123,-186.74148802344695
421,104,-203.42812194436834
422,91,-147.59652296967812
423,72,-73.18073548257246
